Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
INXG,ISHRS £ INDX-LINKED GILTS ETF GBP (DIST),ISHARES II PLC,SP,INXG.L,Fixed Income
IUSP,ISHRS US PROP YIELD UCITS ETF USD (DIST),ISHARES II PLC,SP,IUSP.L,Alternatives
IUKP,ISHARES UK PROPERTY UCITS ETF GBP (DIST),ISHARES II PLC,SP,IUKP.L,Alternatives
IMEU,ISHARES MSCI EUROPE UCITS ETF EUR (DIST),ISHARES II PLC,SP,IMEU.L,Global Equity
IMIB,ISHARES FTSE MIB UCITS ETF EUR DIST,ISHARES II PLC,SP,IMIB.L,Global Equity
INRG,ISHRS GLOBAL CLEAN ENERGY ETF USD (DIST),ISHARES II PLC,SP,INRG.L,Alternatives
WOOD,ISHRS GLBL TIMBER & FOREST ETF USD DIST,ISHARES II PLC,SP,WOOD.L,Alternatives
ISWD,ISHRS MSCI WRLD ISLMIC ETF USD (DIST),ISHARES II PLC,SP,ISWD.L,Global Equity
ISUS,ISHRS MSCI USA ISLMIC UCITS ETF USD DIST,ISHARES II PLC,SP,ISUS.L,Global Equity
ISP6,ISHRS S&P SMLL CAP 600 ETF USD (DIST),ISHARES III PLC,SP,ISP6.L,Global Equity
IGIL,ISHRS GLBL INFL LNKD GVT BND ETF USD ACC,ISHARES III PLC,SP,IGIL.L,Fixed Income
IGLO,ISHRS GLOBAL GOVT BOND ETF USD (DIST),ISHARES III PLC,SP,IGLO.L,Fixed Income
IBGE,ISHRS EUR GOVT BOND 0-1YR ETF EUR (DIST),ISHARES III PLC,SP,IBGE.L,Fixed Income
IGLS,ISHRS UK GILTS 0-5YR ETF GBP (DIST),ISHARES III PLC,SP,IGLS.L,Fixed Income
IBGY,ISHRS EUR GOVT BOND 5-7YR ETF EUR (DIST),ISHARES III PLC,SP,IBGY.L,Fixed Income
IBGZ,ISHRS EUR GOVT BOND 10-15YR ETF EUR DIST,ISHARES III PLC,SP,IBGZ.L,Fixed Income
SEGA,ISHRS CORE EUR GOVT BOND ETF EUR (DIST),ISHARES III PLC,SP,SEGA.L,Fixed Income
IMEA,ISHARES MSCI EUROPE UCITS ETF EUR (ACC),ISHARES III PLC,SP,IMEA.L,Global Equity
IRSA,ISHRS MSCI SOUTH AFRICA ETF USD (ACC),ISHARES III PLC,SP,IRSA.L,Global Equity
IAUS,ISHRS MSCI AUST UCITS ETF USD (ACC),ISHARES III PLC,SP,IAUS.L,Global Equity
IHYG,ISHARES EUR H.YLD C.B UCITS ETF EUR DIST,ISHARES PLC,SP,IHYG.L,Global Equity
CUKS,ISHRS MSCI UK SMALL CAP ETF GBP (ACC),ISHARES VII PLC,SP,CUKS.L,Global Equity
CUSS,ISHRS MSCI USA SMALL CAP ETF USD (ACC),ISHARES VII PLC,SP,CUSS.L,Global Equity
CEUS,ISHRS MSCI EMU SMALL CAP ETF EUR (ACC),ISHARES VII PLC,SP,CEUS.L,Global Equity
CBU3,ISHRS USD TRSY BOND 1-3YR ETF USD (ACC),ISHARES VII PLC,SP,CBU3.L,Fixed Income
CBU7,ISHRS USD TRSRY BOND 3-7YR ETF USD (ACC),ISHARES VII PLC,SP,CBU7.L,Fixed Income
CBU0,ISHRS $ TRSRY BOND 7-10YR ETF USD (ACC),ISHARES VII PLC,SP,CBU0.L,Fixed Income
CBE3,ISHRS EUR GOVT BOND 1-3YR  ETF EUR (ACC),ISHARES VII PLC,SP,CBE3.L,Fixed Income
CE71,ISHRS EUR GOVT BOND 3-7YR ETF EUR (ACC),ISHARES VII PLC,SP,CE71.L,Fixed Income
CE01,ISHRS EUR GOVT BOND 7-10YR ETF EUR (ACC),ISHARES VII PLC,SP,CE01.L,Fixed Income
CSPX,ISHRS CORE S&P 500 UCITS ETF USD (ACC),ISHARES VII PLC,SP,CSPX.L,Global Equity
CSX5,ISHRS CORE EURO STOXX 50 ETF EUR (ACC),ISHARES VII PLC,SP,CSX5.L,Global Equity
