Mnemonic,Long Name,Issuer Name,Security Type,Ticker
JR15,JPM EUR CORP BOND 1-5 YR REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JR15.L
OWLP,OSSIAM ETF WORLDESG MACHINE LEARNING GBX,OSSIAM IRL ICAV,SP,OWLP.L
JPSA,JPM USD ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPSA.L
LOUF,OSSIAM ETF US ESG LC EQUITY FACTORS GBX,OSSIAM IRL ICAV,SP,LOUF.L
ROBE,ROBO GLOBAL ROB&AUTO GO UCITS ETF (EUR),LEGAL & GENERAL UCITS ETF PLC,SP,ROBE.L
ISX5,ISHARES CORE EUR STX 50,ISHARES VII PLC,SP,ISX5.L
IEMU,ISHARES MSCI EMU,ISHARES VII PLC,SP,IEMU.L
JPFM,JPM MANAGED FUTURES UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPFM.L
JPTS,JPM USD ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPTS.L
5HED,OSSIAM ETF SHILLER ESG LC US SECTOR USD,OSSIAM IRL ICAV,SP,5HED.L
JSET,JPM EUR ULTRA-SHORT INCOME UCITS ETF ACC,JPMORGAN ETFS (IRELAND) ICAV,SP,JSET.L
JGST,GBP ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JGST.L
JMFP,JPM MANAGED FUTURES UCITS ETF - GBP,JPMORGAN ETFS (IRELAND) ICAV,SP,JMFP.L
JMFE,JPM MANAGED FUTURES UCITS ETF - EUR,JPMORGAN ETFS (IRELAND) ICAV,SP,JMFE.L
JGRE,JPM GLOBAL REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JGRE.L
JURE,JPM US REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JURE.L
JERE,JPM EUROPE REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JERE.L
JMRE,JPM EMERGING MKTS REI EQ (ESG) UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JMRE.L
JRBU,JPM USD CORP BOND REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JRBU.L
JRBE,JPM EUR CORP BOND REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JRBE.L
J15R,JPM EUR CORP BOND 1-5 YR REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,J15R.L
OWLU,OSSIAM ETF WORLDESG MACHINE LEARNING USD,OSSIAM IRL ICAV,SP,OWLU.L
JGSA,JPM GBP ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JGSA.L
JPAS,JPM USD ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPAS.L
OUFU,OSSIAM ETF US ESG LC EQUITY FACTORS USD,OSSIAM IRL ICAV,SP,OUFU.L
HUKX,HSBC FTSE 100 UCITS ETF,HSBC ETFS PLC,SP,HUKX.L
H50E,HSBC EURO STOXX 50 UCITS ETF,HSBC ETFS PLC,SP,H50E.L
HMJP,HSBC MSCI JAPAN UCITS ETF,HSBC ETFS PLC,SP,HMJP.L
HMCX,HSBC FTSE 250 UCITS ETF,HSBC ETFS PLC,SP,HMCX.L
HSPX,HSBC S&P 500 UCITS ETF,HSBC ETFS PLC,SP,HSPX.L
HMEU,HSBC MSCI EUROPE UCITS ETF,HSBC ETFS PLC,SP,HMEU.L
HMUS,HSBC MSCI USA UCITS ETF,HSBC ETFS PLC,SP,HMUS.L
HMBR,HSBC MSCI BRAZIL UCITS ETF,HSBC ETFS PLC,SP,HMBR.L
HMXJ,HSBC MSCI PACIFIC EX JAPAN UCITS ETF $,HSBC ETFS PLC,SP,HMXJ.L
HMFE,HSBC MSCI EM FAR EAST UCITS ETF,HSBC ETFS PLC,SP,HMFE.L
HTRY,HSBC MSCI TURKEY UCITS ETF,HSBC ETFS PLC,SP,HTRY.L
HMWO,HSBC MSCI WORLD UCITS ETF,HSBC ETFS PLC,SP,HMWO.L
HMCH,HSBC MSCI CHINA UCITS ETF $,HSBC ETFS PLC,SP,HMCH.L
HZAR,HSBC MSCI SOUTH AFRICA UCITS ETF,HSBC ETFS PLC,SP,HZAR.L
