Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
WUKD,WISDOMTREE UK EQUITY INCOME UCITS ETF,WISDOMTREE ISSUER ICAV,SP,WUKD.L,UK Equity,UK
DEMA,WSDMTREE EMRGNG ASIA EQTY INC UCITS ETF,WISDOMTREE ISSUER ICAV,SP,DEMA.L,Global Equity,Asia Pacific
DXGE,WT GERMANY EQUITY UCITS ETF – USD HED,WISDOMTREE ISSUER ICAV,SP,DXGE.L,Global Equity,US
HEDP,WT EUROPE EQUITY UCITS ETF – GBP HED,WISDOMTREE ISSUER ICAV,SP,HEDP.L,Global Equity,UK
DXJP,WT JAPAN EQUITY UCITS ETF – GBP HED,WISDOMTREE ISSUER ICAV,SP,DXJP.L,Global Equity,UK
STHS,PIMCO US HY CORP BOND  GBP IN,PIMCO ETFS PUBLIC LIMITED COMPANY,SP,STHS.L,Fixed Income,UK
AUGA,UBSETF AUSTRALIA HEDG. TO GBP A-ACC,UBS (IRL) ETF PLC,SP,AUGA.L,Global Equity,UK
UPVL,UBSETF FACTOR USA PRIME V. H. GBP A-DIS,UBS (IRL) ETF PLC,SP,UPVL.L,Global Equity,UK
UQLT,UBSETF FACTOR USA QUALITY H. GBP A-DIS,UBS (IRL) ETF PLC,SP,UQLT.L,Global Equity,UK
SBEM,UBSETF BLM BARC USD EMMA SOVER USD A-DIS,UBS ETF,SP,SBEM.L,Fixed Income,US
CXAU,UBSETF CMCI EX-AGRICULTURE USD,UBS ETFS PLC,SP,CXAU.L,Alternatives,US
SBEG,UBSETF BLM BARC USD EMMA SOVER GBP A-DIS,UBS ETF,SP,SBEG.L,Fixed Income,UK
DGRA,WT US QUAL DIV GROWTH UCITS ETF - USD,WISDOMTREE ISSUER ICAV,SP,DGRA.L,Global Equity,US
GGRA,WT GLBL QUAL DIV GROWTH UCITS ETF - USD,WISDOMTREE ISSUER ICAV,SP,GGRA.L,Global Equity,US
US71,LYX CORE US TREASURIES 7-10Y (DR) ETF,MULTI UNITS LUXEMBOURG,SP,US71.L,Fixed Income,US
EGRA,WISDOMTREE EZ QD GROW UCITS ETF-EUR ACC,WISDOMTREE ISSUER ICAV,SP,EGRA.L,Global Equity,Europe
ALQD,X USD ASIACORP BOND,XTRACKERS II,SP,ALQD.L,Fixed Income,US
US13,LYX CORE US $ TREASURIES 1-3Y (DR) ETF,MULTI UNITS LUXEMBOURG,SP,US13.L,Fixed Income,US
GILI,LYXOR CORE FTSE UK GILTS INFLATION-LINK,MULTI UNITS LUXEMBOURG,SP,GILI.L,Fixed Income,UK
GILS,LYXOR CORE FTSE ACTUARIES UK GILTS DIST,MULTI UNITS LUXEMBOURG,SP,GILS.L,Fixed Income,UK
COUK,LYX ETF IBOXX LIQ CORP LG DA DIS TH,MULTI UNITS LUXEMBOURG,SP,COUK.L,Fixed Income,Global
GGRW,WT GLOBAL QD GROWTH UCITS ETF - USD,WISDOMTREE ISSUER ICAV,SP,GGRW.L,Global Equity,US
EGRW,WISDOMTREE EZ QD GROW UCITS ETF-EUR,WISDOMTREE ISSUER ICAV,SP,EGRW.L,Global Equity,Europe
